Date,Time,levelname,Component,message,processname
2020-05-25,"14:36:19,196",WARNING,ForkPoolWorker-6,graphbuild_finish,celery8-6.log
2020-05-25,"13:10:39,248",WARNING,ForkPoolWorker-6,<Response [200]>,celery4-6.log
2020-05-25,"11:58:34,782",WARNING,ForkPoolWorker-6,<Response [200]>,celery2-6.log
2020-05-25,"11:58:34,786",INFO,ForkPoolWorker-6,Task task_analysis.sna[97273ba9-90ba-4884-8696-8286110f3eb7] succeeded in 6.92734394595027s: None,celery2-6.log
2020-05-25,"10:56:42,747",WARNING,ForkPoolWorker-6,make graph,celery1-6.log
2020-05-25,"10:56:46,032",WARNING,ForkPoolWorker-6,X.shape :,celery1-6.log
2020-05-25,"10:56:46,032",WARNING,ForkPoolWorker-6,"(18191, 1083)",celery1-6.log
2020-05-25,"10:56:47,258",WARNING,ForkPoolWorker-6,graphbuild_finish,celery1-6.log
2020-05-25,"10:56:47,277",WARNING,ForkPoolWorker-6,<Response [200]>,celery1-6.log
2020-05-25,"10:56:47,279",INFO,ForkPoolWorker-6,Task task_analysis.sna[3ede71a2-a097-4c03-a901-bda5065965bd] succeeded in 4.532731835730374s: None,celery1-6.log
2020-05-25,"13:10:39,253",INFO,ForkPoolWorker-6,Task task_analysis.sna[c901c1e7-5e92-49c3-99a5-549a915b7486] succeeded in 1.6770274564623833s: None,celery4-6.log
2020-05-25,"14:31:05,459",WARNING,ForkPoolWorker-6,<Response [200]>,celery7-6.log
2020-05-25,"11:58:33,153",WARNING,ForkPoolWorker-6,X.shape :,celery2-6.log
2020-05-25,"10:00:11,501",INFO,MainProcess,sync with celery3@None,celery5.log
2020-05-25,"10:00:34,225",INFO,MainProcess,sync with celery7@None,celery5.log
2020-05-25,"14:36:05,335",INFO,MainProcess,Received task: task_analysis.sna[8952a994-533e-4360-a736-c127f4359c90],celery8.log
2020-05-25,"10:00:00,024",INFO,MainProcess,sync with celery1@None,celery5.log
2020-05-25,"11:58:34,762",WARNING,ForkPoolWorker-6,graphbuild_finish,celery2-6.log
2020-05-25,"10:00:45,803",INFO,MainProcess,sync with celery9@None,celery8.log
2020-05-25,"10:00:51,989",INFO,MainProcess,sync with celery10@None,celery5.log
2020-05-25,"12:23:26,910",WARNING,ForkPoolWorker-6,make graph,celery3-6.log
2020-05-25,"10:00:34,225",INFO,MainProcess,sync with celery7@None,celery8.log
2020-05-25,"14:01:42,223",INFO,MainProcess,Received task: task_analysis.sna[43cc563d-e48f-4897-bbff-624ad6c5fa08],celery5.log
2020-05-25,"14:36:19,219",WARNING,ForkPoolWorker-6,<Response [200]>,celery8-6.log
2020-05-25,"14:36:19,222",INFO,ForkPoolWorker-6,Task task_analysis.sna[8952a994-533e-4360-a736-c127f4359c90] succeeded in 10.692437772639096s: None,celery8-6.log
2020-05-26,"09:40:49,567",INFO,ForkPoolWorker-6,"topic #0 (0.200): 0.007*""사업"" + 0.006*""환경"" + 0.005*""기자"" + 0.005*""교육"" + 0.005*""제공"" + 0.005*""지원"" + 0.004*""개발"" + 0.004*""서비스"" + 0.004*""온라인"" + 0.004*""지역""",celery9-6.log
2020-05-26,"09:40:49,568",INFO,ForkPoolWorker-6,"topic #1 (0.200): 0.025*""코로나"" + 0.011*""확진"" + 0.007*""보건"" + 0.006*""정부"" + 0.005*""미국"" + 0.005*""검사"" + 0.005*""지원"" + 0.005*""사망자"" + 0.004*""대통령"" + 0.004*""뉴스""",celery9-6.log
2020-05-26,"09:45:22,838",WARNING,ForkPoolWorker-6,topic,celery1-6.log
2020-05-26,"09:45:22,917",INFO,ForkPoolWorker-6,adding document #0 to Dictionary(0 unique tokens: []),celery1-6.log
2020-05-26,"10:09:32,174",INFO,ForkPoolWorker-6,Task task_analysis.topic[ccf7c9a8-410a-4d3e-b40e-8a216bcb4123] succeeded in 1737.2482971670106s: None,celery9-6.log
2020-05-26,"10:09:32,104",WARNING,ForkPoolWorker-6,<Response [200]>,celery9-6.log
2020-05-26,"10:09:32,093",WARNING,ForkPoolWorker-6,WorkingTime: 1737.1676199436188 sec,celery9-6.log
2020-05-26,"10:09:31,982",WARNING,ForkPoolWorker-6,/opt/wigo/anaconda3/lib/python3.7/site-packages/pyLDAvis/_prepare.py:257: FutureWarning: Sorting because non-concatenation axis is not aligned. A future version,celery9-6.log
2020-05-26,"09:41:14,070",WARNING,ForkPoolWorker-6,"/opt/wigo/anaconda3/lib/python3.7/site-packages/joblib/parallel.py:673: UserWarning: Loky-backed parallel loops cannot be called in a multiprocessing, setting n_jobs=1",celery9-6.log
2020-05-26,"09:40:56,001",INFO,ForkPoolWorker-6,NumExpr defaulting to 8 threads.,celery9-6.log
2020-05-26,"09:40:56,000",INFO,ForkPoolWorker-6,"Note: NumExpr detected 20 cores but ""NUMEXPR_MAX_THREADS"" not set, so enforcing safe limit of 8.",celery9-6.log
2020-05-26,"09:40:49,570",INFO,ForkPoolWorker-6,"topic diff=0.899324, rho=0.577350",celery9-6.log
2020-05-26,"10:17:14,817",INFO,ForkPoolWorker-6,Task task_analysis.sna[c461b2b3-e53c-4400-9953-50b43c2ec76d] succeeded in 0.8857964342460036s: None,celery6-6.log
2020-05-26,"09:45:31,194",INFO,ForkPoolWorker-6,"topic #0 (0.200): 0.013*""코로나"" + 0.005*""기업"" + 0.004*""기자"" + 0.004*""관련"" + 0.004*""환경"" + 0.003*""사업"" + 0.003*""지역"" + 0.003*""경제"" + 0.003*""시간"" + 0.003*""국내""",celery1-6.log
2020-05-26,"10:17:14,813",WARNING,ForkPoolWorker-6,<Response [200]>,celery6-6.log
2020-05-26,"09:45:28,164",INFO,ForkPoolWorker-6,"PROGRESS: pass 0, at document #1872/1872",celery1-6.log
2020-05-26,"09:45:28,164",INFO,ForkPoolWorker-6,"-10.307 per-word bound, 1267.0 perplexity estimate based on a held-out corpus of 1872 documents with 426931 words",celery1-6.log
